itemType,title,date,checkOutTimes,checkOutDuration
accd,Stage,2006/02,22,9.2308
accd,Station to station,2006/02,26,9.7
accd,Young Americans,2006/02,17,17
accd,Aladdin sane,2006/03,24,10.5
accd,Best of Bowie,2006/03,40,13.5652
accd,Bowie at the Beeb the best of the BBC radio sessions 68 72,2006/03,13,8.8571
accd,ChangesBowie,2006/03,20,16.6
accd,David live,2006/03,15,11
accd,Diamond dogs,2006/03,36,11.5714
accd,Earthling,2006/03,12,24.375
accd,Heathen,2006/03,14,4.1429
accd,Heroes,2006/03,33,14.6957
accd,Hunky dory,2006/03,29,12.4211
accd,Lodger,2006/03,20,13.75
accd,Low,2006/03,42,15.2917
accd,man who sold the world,2006/03,28,14.6154
accd,Outside,2006/03,23,9.3333
accd,Reality,2006/03,18,36.7778
accd,rise and fall of Ziggy Stardust and the spiders from Mars,2006/03,46,11.2
accd,Scary monsters,2006/03,30,9.8667
accd,Space oddity,2006/03,38,11.3462
accd,Stage,2006/03,17,12.5
accd,Station to station,2006/03,56,16.4667
accd,Young Americans,2006/03,41,16.7692
accd,Aladdin sane,2006/04,15,10.7
accd,Best of Bowie,2006/04,35,13.4783
accd,Bowie at the Beeb the best of the BBC radio sessions 68 72,2006/04,14,10.4
accd,ChangesBowie,2006/04,7,27.3333
accd,David live,2006/04,16,16.25
accd,Diamond dogs,2006/04,21,40.2667
accd,Earthling,2006/04,6,5.5
accd,Heathen,2006/04,9,2.75
accd,Heroes,2006/04,13,8.8889
accd,Hunky dory,2006/04,26,28.375
accd,Lodger,2006/04,17,11.8571
accd,Low,2006/04,25,16.5714
accd,man who sold the world,2006/04,29,10.9444
accd,Outside,2006/04,9,37.2
accd,Reality,2006/04,11,32.4286
accd,rise and fall of Ziggy Stardust and the spiders from Mars,2006/04,29,13.125
accd,Scary monsters,2006/04,13,23.3333
accd,Space oddity,2006/04,22,9.1667
accd,Stage,2006/04,17,19.4444
accd,Station to station,2006/04,26,8
accd,Young Americans,2006/04,29,19.8571
accd,Aladdin sane,2006/05,26,11.4211
accd,Best of Bowie,2006/05,28,13.85
accd,Bowie at the Beeb the best of the BBC radio sessions 68 72,2006/05,11,29
accd,ChangesBowie,2006/05,10,13.375
accd,David live,2006/05,19,15.0833
accd,Diamond dogs,2006/05,20,9.7692
accd,Earthling,2006/05,11,7.4286
accd,Heathen,2006/05,12,20.125
accd,Heroes,2006/05,15,18.2308
accd,Hunky dory,2006/05,29,14.05
accd,Lodger,2006/05,14,13.3333
accd,Low,2006/05,21,11.5455
accd,man who sold the world,2006/05,31,20
accd,Reality,2006/05,13,12.625
accd,rise and fall of Ziggy Stardust and the spiders from Mars,2006/05,29,12.3889
accd,Scary monsters,2006/05,25,15.1875
accd,Space oddity,2006/05,28,23.2174
accd,Stage,2006/05,21,48.25
accd,Station to station,2006/05,25,16.2308
accd,Young Americans,2006/05,20,9.3846
accd,Aladdin sane,2006/06,26,19.0588
accd,Best of Bowie,2006/06,41,14.2857
accd,ChangesBowie,2006/06,21,18.4615
accd,David live,2006/06,19,18.5
accd,Diamond dogs,2006/06,20,21.0769
accd,Earthling,2006/06,11,7.6
accd,Heathen,2006/06,13,9.5
accd,Heroes,2006/06,17,16.7273
accd,Hunky dory,2006/06,37,8.7692
